Location,Time,Race,Two or More Races,Family Income - Rate (Dollars per Capita),Family Income - Rate (Dollars per Capita) - Error,Family Income - Median (Dollars),Family Income - Median (Dollars) - Error,Total Population: by Race - Number (People),Total Population: by Race - Number (People) - Error
California,2006-2010,All,All,29188,55.32251200680892,69322,176.91045048331205,36637290,
California,2006-2010,American Indian and Alaskan Native,All,,,,,283628,3561.918657669159
California,2006-2010,Asian,All,,,,,4747252,4899.993920603076
California,2006-2010,Black or African-American,All,,,,,2246311,3859.2011672442095
California,2006-2010,Native Hawaiian and other Pacific Islander,All,,,,,140429,1211.015867225971
California,2006-2010,Other Race,All,,,,,5448609,21349.018177396803
California,2006-2010,Two or more races,All,,,,,1378348,12452.428719071067
California,2006-2010,Two or more races,Two races excluding Some other race, and three or more races,,,,,989326,9252.234178369506
California,2006-2010,Two or more races,Two races including Some other race,,,,,389022,5324.943765578454
California,2006-2010,White,All,,,,,22392713,17937.868563438507
California,2007-2011,All,All,29634,54.10663262204389,70231,172.04693294425192,36969200,
California,2007-2011,American Indian and Alaskan Native,All,,,,,287712,3203.2342391634747
California,2007-2011,Asian,All,,,,,4825271,5357.164569274728
California,2007-2011,Black or African-American,All,,,,,2252129,4421.5453826980365
California,2007-2011,Native Hawaiian and other Pacific Islander,All,,,,,141382,1487.0204875676332
California,2007-2011,Other Race,All,,,,,5142478,23267.06790686364
California,2007-2011,Two or more races,All,,,,,1459887,14144.324882971609
California,2007-2011,Two or more races,Two races excluding Some other race, and three or more races,,,,,1075098,10522.220195756581
California,2007-2011,Two or more races,Two races including Some other race,,,,,384789,5620.402456076357
California,2007-2011,White,All,,,,,22860341,19393.884126694633
California,2008-2012,All,All,29551,54.714572314426405,69883,153.20080248039395,37325068,
California,2008-2012,American Indian and Alaskan Native,All,,,,,291505,3471.943583196547
California,2008-2012,Asian,All,,,,,4921543,5264.757736032586
California,2008-2012,Black or African-American,All,,,,,2254160,4087.786491580035
California,2008-2012,Native Hawaiian and other Pacific Islander,All,,,,,144236,1357.5293330901575
California,2008-2012,Other Race,All,,,,,4914220,23512.067602893792
California,2008-2012,Two or more races,All,,,,,1546851,14030.64016049608
California,2008-2012,Two or more races,Two races excluding Some other race, and three or more races,,,,,1161699,9786.005228281354
California,2008-2012,Two or more races,Two races including Some other race,,,,,385152,5926.804061037145
California,2008-2012,White,All,,,,,23252553,17644.841631710133
California,2009-2013,All,All,29527,52.89075323727886,69661,165.96753602042676,37659181,
California,2009-2013,American Indian and Alaskan Native,All,,,,,286397,3262.204389324579
California,2009-2013,Asian,All,,,,,5005635,4202.079153747948
California,2009-2013,Black or African-American,All,,,,,2255372,3445.194236731716
California,2009-2013,Native Hawaiian and other Pacific Islander,All,,,,,146290,1445.6805884856221
California,2009-2013,Other Race,All,,,,,4870961,20514.92491944799
California,2009-2013,Two or more races,All,,,,,1627359,12270.654751048696
California,2009-2013,Two or more races,Two races excluding Some other race, and three or more races,,,,,1232550,9249.802419599975
California,2009-2013,Two or more races,Two races including Some other race,,,,,394809,5523.740044987537
California,2009-2013,White,All,,,,,23467167,15279.348288649766
California,2010,All,All,,,,,37349363,
